WARNING:root:2021-12-29 16:12:50.287126, Mouse spotted
WARNING:root:2021-12-29 16:12:51.484840, Mouse spotted
WARNING:root:2021-12-29 16:12:52.009215, Mouse spotted
WARNING:root:2021-12-29 16:12:52.874398, Mouse spotted
WARNING:root:2021-12-29 16:12:57.626456, Mouse spotted
WARNING:root:2021-12-29 16:12:58.402623, Mouse spotted
WARNING:root:2021-12-29 16:12:58.908089, Mouse spotted
WARNING:root:2021-12-29 16:12:59.453887, Mouse spotted
WARNING:root:2021-12-29 16:12:59.565438, Mouse spotted
WARNING:root:2021-12-29 16:12:59.640879, Mouse spotted
WARNING:root:2021-12-29 16:12:59.734327, Mouse spotted
WARNING:root:2021-12-29 16:12:59.887545, Mouse spotted
WARNING:root:2021-12-29 16:12:59.975613, Mouse spotted
WARNING:root:2021-12-29 16:13:00.121658, Mouse spotted
WARNING:root:2021-12-29 16:13:00.421144, Mouse spotted
WARNING:root:2021-12-29 16:13:00.727171, Mouse spotted
WARNING:root:2021-12-29 16:13:00.834928, Mouse spotted
WARNING:root:2021-12-29 16:13:01.089168, Mouse spotted
WARNING:root:2021-12-29 16:13:01.943763, Mouse spotted
WARNING:root:2021-12-29 16:13:02.027965, Mouse spotted
WARNING:root:2021-12-29 16:13:02.219145, Mouse spotted
WARNING:root:2021-12-29 16:13:02.298236, Mouse spotted
WARNING:root:2021-12-29 16:13:02.552650, Mouse spotted
WARNING:root:2021-12-29 16:13:02.704220, Mouse spotted
WARNING:root:2021-12-29 16:13:02.904347, Mouse spotted
WARNING:root:2021-12-29 16:13:02.972011, Mouse spotted
WARNING:root:2021-12-29 16:13:03.048782, Mouse spotted
WARNING:root:2021-12-29 16:13:03.122517, Mouse spotted
WARNING:root:2021-12-29 16:13:03.210589, Mouse spotted
WARNING:root:2021-12-29 16:13:08.412952, Mouse spotted
WARNING:root:2021-12-29 16:13:11.684019, Mouse spotted
WARNING:root:2021-12-29 16:13:21.538401, Mouse spotted
WARNING:root:2021-12-29 16:13:21.759432, Mouse spotted
WARNING:root:2021-12-29 16:13:21.946769, Mouse spotted
WARNING:root:2021-12-29 16:13:24.497285, Mouse spotted
WARNING:root:2021-12-29 16:13:24.649183, Mouse spotted
WARNING:root:2021-12-29 16:13:29.919818, Mouse spotted
WARNING:root:2021-12-29 16:13:30.763686, Mouse spotted
WARNING:root:2021-12-29 16:13:30.876503, Mouse spotted
WARNING:root:2021-12-29 16:13:30.972520, Mouse spotted
WARNING:root:2021-12-29 16:13:31.053412, Mouse spotted
WARNING:root:2021-12-29 16:13:31.454269, Mouse spotted
WARNING:root:2021-12-29 16:13:31.529413, Mouse spotted
WARNING:root:2021-12-29 16:13:31.742377, Mouse spotted
WARNING:root:2021-12-29 16:13:31.828996, Mouse spotted
WARNING:root:2021-12-29 16:13:31.906979, Mouse spotted
WARNING:root:2021-12-29 16:13:31.988012, Mouse spotted
WARNING:root:2021-12-29 16:13:32.304690, Mouse spotted
WARNING:root:2021-12-29 16:13:33.462066, Mouse spotted
WARNING:root:2021-12-29 16:13:33.761389, Mouse spotted
WARNING:root:2021-12-29 16:13:33.939064, Mouse spotted
WARNING:root:2021-12-29 16:13:34.321277, Mouse spotted
WARNING:root:2021-12-29 16:13:35.062146, Mouse spotted
WARNING:root:2021-12-29 16:13:35.139969, Mouse spotted
WARNING:root:2021-12-29 16:13:35.314313, Mouse spotted
WARNING:root:2021-12-29 16:13:35.465310, Mouse spotted
WARNING:root:2021-12-29 16:13:38.928285, Mouse spotted
WARNING:root:2021-12-29 16:13:39.005823, Mouse spotted
WARNING:root:2021-12-29 16:13:39.744917, Mouse spotted
WARNING:root:2021-12-29 16:13:47.383922, Mouse spotted
WARNING:root:2021-12-29 16:13:47.564733, Mouse spotted
WARNING:root:2021-12-29 16:13:47.683136, Mouse spotted
WARNING:root:2021-12-29 16:13:47.820021, Mouse spotted
WARNING:root:2021-12-29 16:13:47.984840, Mouse spotted
WARNING:root:2021-12-29 16:13:48.081175, Mouse spotted
WARNING:root:2021-12-29 16:13:48.149705, Mouse spotted
WARNING:root:2021-12-29 16:13:48.242876, Mouse spotted
WARNING:root:2021-12-29 16:13:48.313037, Mouse spotted
WARNING:root:2021-12-29 16:13:48.385179, Mouse spotted
WARNING:root:2021-12-29 16:13:48.456346, Mouse spotted
WARNING:root:2021-12-29 16:13:48.593965, Mouse spotted
WARNING:root:2021-12-29 16:13:49.163680, Mouse spotted
WARNING:root:2021-12-29 16:13:49.318908, Mouse spotted
WARNING:root:2021-12-29 16:13:50.139961, Mouse spotted
WARNING:root:2021-12-29 16:21:13.251263, Mouse spotted
WARNING:root:2021-12-29 16:21:13.432859, Mouse spotted
WARNING:root:2021-12-29 16:21:13.608432, Mouse spotted
WARNING:root:2021-12-29 16:21:13.749015, Mouse spotted
WARNING:root:2021-12-29 16:21:13.886559, Mouse spotted
WARNING:root:2021-12-29 16:21:14.040509, Mouse spotted
WARNING:root:2021-12-29 16:21:14.182861, Mouse spotted
WARNING:root:2021-12-29 16:21:14.348832, Mouse spotted
WARNING:root:2021-12-29 16:21:14.509244, Mouse spotted
WARNING:root:2021-12-29 16:21:14.660787, Mouse spotted
WARNING:root:2021-12-29 16:21:14.810177, Mouse spotted
WARNING:root:2021-12-29 16:21:14.950652, Mouse spotted
WARNING:root:2021-12-29 16:21:15.092253, Mouse spotted
WARNING:root:2021-12-29 16:21:15.239118, Mouse spotted
WARNING:root:2021-12-29 16:21:15.383825, Mouse spotted
WARNING:root:2021-12-29 16:21:15.522432, Mouse spotted
WARNING:root:2021-12-29 16:21:15.649194, Mouse spotted
WARNING:root:2021-12-29 16:21:15.795872, Mouse spotted
WARNING:root:2021-12-29 16:21:15.940306, Mouse spotted
WARNING:root:2021-12-29 16:21:16.089105, Mouse spotted
WARNING:root:2021-12-29 16:21:16.237275, Mouse spotted
WARNING:root:2021-12-29 16:21:16.372458, Mouse spotted
WARNING:root:2021-12-29 16:21:16.518445, Mouse spotted
WARNING:root:2021-12-29 16:21:16.658008, Mouse spotted
WARNING:root:2021-12-29 16:21:16.799781, Mouse spotted
WARNING:root:2021-12-29 16:21:16.940287, Mouse spotted
WARNING:root:2021-12-29 16:21:17.084429, Mouse spotted
WARNING:root:2021-12-29 16:21:17.242580, Mouse spotted
WARNING:root:2021-12-29 16:21:17.428956, Mouse spotted
WARNING:root:2021-12-29 16:21:17.568867, Mouse spotted
WARNING:root:2021-12-29 16:21:17.636255, Mouse spotted
WARNING:root:2021-12-29 16:21:17.728386, Mouse spotted
WARNING:root:2021-12-29 16:21:17.815882, Mouse spotted
WARNING:root:2021-12-29 16:21:17.886592, Mouse spotted
WARNING:root:2021-12-29 16:21:17.953960, Mouse spotted
WARNING:root:2021-12-29 16:21:18.106668, Mouse spotted
WARNING:root:2021-12-29 16:21:18.243362, Mouse spotted
WARNING:root:2021-12-29 16:21:18.409631, Mouse spotted
WARNING:root:2021-12-29 16:21:18.549007, Mouse spotted
WARNING:root:2021-12-29 16:21:18.614060, Mouse spotted
WARNING:root:2021-12-29 16:21:18.757713, Mouse spotted
WARNING:root:2021-12-29 16:21:18.859731, Mouse spotted
WARNING:root:2021-12-29 16:21:18.972123, Mouse spotted
WARNING:root:2021-12-29 16:21:19.042513, Mouse spotted
WARNING:root:2021-12-29 16:21:19.111033, Mouse spotted
WARNING:root:2021-12-29 16:22:28.149603, Mouse spotted
WARNING:root:2021-12-29 16:22:28.545262, Mouse spotted
WARNING:root:2021-12-29 16:22:28.692128, Mouse spotted
WARNING:root:2021-12-29 16:22:28.839770, Mouse spotted
WARNING:root:2021-12-29 16:22:28.989404, Mouse spotted
WARNING:root:2021-12-29 16:22:29.141370, Mouse spotted
WARNING:root:2021-12-29 16:22:29.292336, Mouse spotted
WARNING:root:2021-12-29 16:22:29.562020, Mouse spotted
WARNING:root:2021-12-29 16:22:29.713813, Mouse spotted
WARNING:root:2021-12-29 16:22:29.860810, Mouse spotted
WARNING:root:2021-12-29 16:22:29.993118, Mouse spotted
WARNING:root:2021-12-29 16:22:30.121897, Mouse spotted
WARNING:root:2021-12-29 16:22:30.260120, Mouse spotted
WARNING:root:2021-12-29 16:22:30.403738, Mouse spotted
WARNING:root:2021-12-29 16:22:30.557051, Mouse spotted
WARNING:root:2021-12-29 16:22:30.709348, Mouse spotted
WARNING:root:2021-12-29 16:22:30.853735, Mouse spotted
WARNING:root:2021-12-29 16:22:31.007041, Mouse spotted
WARNING:root:2021-12-29 16:22:31.160270, Mouse spotted
WARNING:root:2021-12-29 16:22:31.300642, Mouse spotted
WARNING:root:2021-12-29 16:22:31.435971, Mouse spotted
WARNING:root:2021-12-29 16:22:31.576759, Mouse spotted
WARNING:root:2021-12-29 16:22:31.731833, Mouse spotted
WARNING:root:2021-12-29 16:22:31.915773, Mouse spotted
WARNING:root:2021-12-29 16:22:50.345471, Mouse spotted
WARNING:root:2021-12-29 16:22:50.890473, Mouse spotted
WARNING:root:2021-12-29 16:22:51.003927, Mouse spotted
WARNING:root:2021-12-29 16:22:51.145059, Mouse spotted
WARNING:root:2021-12-29 16:22:51.243994, Mouse spotted
WARNING:root:2021-12-29 16:22:51.332665, Mouse spotted
WARNING:root:2021-12-29 16:23:13.248549, Mouse spotted
WARNING:root:2021-12-29 16:23:13.469416, Mouse spotted
WARNING:root:2021-12-29 16:23:13.618425, Mouse spotted
WARNING:root:2021-12-29 16:23:13.772948, Mouse spotted
WARNING:root:2021-12-29 16:23:13.917247, Mouse spotted
WARNING:root:2021-12-29 16:23:14.075713, Mouse spotted
WARNING:root:2021-12-29 16:23:14.213382, Mouse spotted
WARNING:root:2021-12-29 16:23:14.370812, Mouse spotted
WARNING:root:2021-12-29 16:23:14.507457, Mouse spotted
WARNING:root:2021-12-29 16:23:14.644467, Mouse spotted
WARNING:root:2021-12-29 16:23:14.791677, Mouse spotted
WARNING:root:2021-12-29 16:23:14.948922, Mouse spotted
WARNING:root:2021-12-29 16:23:15.095582, Mouse spotted
WARNING:root:2021-12-29 16:23:15.263304, Mouse spotted
WARNING:root:2021-12-29 16:23:52.512138, Mouse spotted
WARNING:root:2021-12-29 16:23:52.683878, Mouse spotted
WARNING:root:2021-12-29 16:23:55.097162, Mouse spotted
WARNING:root:2021-12-29 16:23:55.523941, Mouse spotted
WARNING:root:2021-12-29 16:23:55.656984, Mouse spotted
WARNING:root:2021-12-29 16:23:55.798925, Mouse spotted
WARNING:root:2021-12-29 16:23:55.869203, Mouse spotted
WARNING:root:2021-12-29 16:23:56.262244, Mouse spotted
WARNING:root:2021-12-29 16:24:03.967668, Mouse spotted
WARNING:root:2021-12-29 16:24:04.180269, Mouse spotted
WARNING:root:2021-12-29 16:24:04.331195, Mouse spotted
WARNING:root:2021-12-29 16:24:04.647103, Mouse spotted
WARNING:root:2021-12-29 16:24:04.792627, Mouse spotted
WARNING:root:2021-12-29 16:24:04.933043, Mouse spotted
WARNING:root:2021-12-29 16:24:05.065792, Mouse spotted
WARNING:root:2021-12-29 16:24:05.212399, Mouse spotted
WARNING:root:2021-12-29 16:24:05.358267, Mouse spotted
WARNING:root:2021-12-29 16:24:05.501242, Mouse spotted
WARNING:root:2021-12-29 16:24:05.648883, Mouse spotted
WARNING:root:2021-12-29 16:24:05.798960, Mouse spotted
WARNING:root:2021-12-29 16:24:05.942463, Mouse spotted
WARNING:root:2021-12-29 16:24:06.091010, Mouse spotted
WARNING:root:2021-12-29 16:24:44.111941, Mouse spotted
WARNING:root:2021-12-29 16:24:44.342696, Mouse spotted
WARNING:root:2021-12-29 16:24:44.488709, Mouse spotted
WARNING:root:2021-12-29 16:24:44.640830, Mouse spotted
WARNING:root:2021-12-29 16:24:44.766016, Mouse spotted
WARNING:root:2021-12-29 16:24:44.904977, Mouse spotted
WARNING:root:2021-12-29 16:24:46.186022, Mouse spotted
WARNING:root:2021-12-29 16:24:47.667821, Mouse spotted
WARNING:root:2021-12-29 16:24:47.933170, Mouse spotted
WARNING:root:2021-12-29 16:24:48.079560, Mouse spotted
WARNING:root:2021-12-29 16:24:48.210970, Mouse spotted
WARNING:root:2021-12-29 16:24:48.360571, Mouse spotted
WARNING:root:2021-12-29 16:24:48.509762, Mouse spotted
WARNING:root:2021-12-29 16:24:48.655121, Mouse spotted
WARNING:root:2021-12-29 16:24:48.798844, Mouse spotted
WARNING:root:2021-12-29 16:24:48.938927, Mouse spotted
WARNING:root:2021-12-29 16:24:49.089736, Mouse spotted
WARNING:root:2021-12-29 16:24:49.223840, Mouse spotted
WARNING:root:2021-12-29 16:24:49.364715, Mouse spotted
WARNING:root:2021-12-29 16:24:49.569425, Mouse spotted
WARNING:root:2021-12-29 16:24:49.720776, Mouse spotted
WARNING:root:2021-12-29 16:24:49.858408, Mouse spotted
WARNING:root:2021-12-29 16:24:50.007887, Mouse spotted
WARNING:root:2021-12-29 16:24:50.151082, Mouse spotted
WARNING:root:2021-12-29 16:24:50.300840, Mouse spotted
WARNING:root:2021-12-29 16:24:50.456796, Mouse spotted
WARNING:root:2021-12-29 16:24:50.612261, Mouse spotted
WARNING:root:2021-12-29 16:24:50.749070, Mouse spotted
WARNING:root:2021-12-29 16:24:50.908380, Mouse spotted
WARNING:root:2021-12-29 16:24:51.063121, Mouse spotted
WARNING:root:2021-12-29 16:24:51.206875, Mouse spotted
WARNING:root:2021-12-29 16:24:51.347937, Mouse spotted
WARNING:root:2021-12-29 16:24:51.489783, Mouse spotted
WARNING:root:2021-12-29 16:24:51.645240, Mouse spotted
WARNING:root:2021-12-29 16:24:51.783610, Mouse spotted
WARNING:root:2021-12-29 16:24:51.913776, Mouse spotted
WARNING:root:2021-12-29 16:24:52.069138, Mouse spotted
WARNING:root:2021-12-29 16:24:52.218340, Mouse spotted
WARNING:root:2021-12-29 16:24:52.369589, Mouse spotted
WARNING:root:2021-12-29 16:24:52.658812, Mouse spotted
WARNING:root:2021-12-29 16:24:52.799077, Mouse spotted
WARNING:root:2021-12-29 16:24:52.935610, Mouse spotted
WARNING:root:2021-12-29 16:24:53.073390, Mouse spotted
WARNING:root:2021-12-29 16:24:53.213571, Mouse spotted
WARNING:root:2021-12-29 16:24:53.354508, Mouse spotted
WARNING:root:2021-12-29 16:24:53.490248, Mouse spotted
WARNING:root:2021-12-29 16:24:53.671777, Mouse spotted
WARNING:root:2021-12-29 16:24:53.818506, Mouse spotted
WARNING:root:2021-12-29 16:26:05.370852, Mouse spotted
WARNING:root:2021-12-29 16:26:05.529068, Mouse spotted
WARNING:root:2021-12-29 16:26:05.840681, Mouse spotted
WARNING:root:2021-12-29 16:26:12.172758, Mouse spotted
WARNING:root:2021-12-29 16:26:12.378694, Mouse spotted
WARNING:root:2021-12-29 16:26:14.910387, Mouse spotted
WARNING:root:2021-12-29 16:26:15.050165, Mouse spotted
WARNING:root:2021-12-29 16:26:15.194942, Mouse spotted
WARNING:root:2021-12-29 16:26:15.360306, Mouse spotted
WARNING:root:2021-12-29 16:26:15.522650, Mouse spotted
WARNING:root:2021-12-29 16:26:15.693670, Mouse spotted
WARNING:root:2021-12-29 16:26:15.833333, Mouse spotted
WARNING:root:2021-12-29 16:26:15.989423, Mouse spotted
WARNING:root:2021-12-29 16:26:16.266816, Mouse spotted
WARNING:root:2021-12-29 16:26:16.403835, Mouse spotted
WARNING:root:2021-12-29 16:26:17.705299, Mouse spotted
WARNING:root:2021-12-29 16:26:20.733060, Mouse spotted
WARNING:root:2021-12-29 16:26:21.242849, Mouse spotted
WARNING:root:2021-12-29 16:26:21.551985, Mouse spotted
WARNING:root:2021-12-29 16:26:21.684060, Mouse spotted
WARNING:root:2021-12-29 16:26:21.788593, Mouse spotted
WARNING:root:2021-12-29 16:26:21.879030, Mouse spotted
WARNING:root:2021-12-29 16:26:21.970820, Mouse spotted
WARNING:root:2021-12-29 16:26:22.085742, Mouse spotted
WARNING:root:2021-12-29 16:26:22.166072, Mouse spotted
WARNING:root:2021-12-29 16:26:22.255016, Mouse spotted
WARNING:root:2021-12-29 16:26:22.334268, Mouse spotted
WARNING:root:2021-12-29 16:26:22.444914, Mouse spotted
WARNING:root:2021-12-29 16:26:22.523330, Mouse spotted
WARNING:root:2021-12-29 16:26:22.644069, Mouse spotted
WARNING:root:2021-12-29 16:26:22.770818, Mouse spotted
WARNING:root:2021-12-29 16:26:22.869327, Mouse spotted
WARNING:root:2021-12-29 16:26:22.945982, Mouse spotted
WARNING:root:2021-12-29 16:26:23.032446, Mouse spotted
WARNING:root:2021-12-29 16:26:23.111030, Mouse spotted
WARNING:root:2021-12-29 16:26:23.184832, Mouse spotted
WARNING:root:2021-12-29 16:26:23.378366, Mouse spotted
WARNING:root:2021-12-29 16:26:23.461831, Mouse spotted
WARNING:root:2021-12-29 16:26:23.551325, Mouse spotted
WARNING:root:2021-12-29 16:26:23.625642, Mouse spotted
WARNING:root:2021-12-29 16:26:23.730577, Mouse spotted
WARNING:root:2021-12-29 16:26:23.817829, Mouse spotted
WARNING:root:2021-12-29 16:26:23.893448, Mouse spotted
WARNING:root:2021-12-29 16:26:23.967791, Mouse spotted
WARNING:root:2021-12-29 16:26:24.048917, Mouse spotted
WARNING:root:2021-12-29 16:26:24.122553, Mouse spotted
WARNING:root:2021-12-29 16:26:24.197122, Mouse spotted
WARNING:root:2021-12-29 16:26:24.270656, Mouse spotted
WARNING:root:2021-12-29 16:26:24.362645, Mouse spotted
WARNING:root:2021-12-29 16:26:24.440701, Mouse spotted
WARNING:root:2021-12-29 16:26:24.532928, Mouse spotted
WARNING:root:2021-12-29 16:26:24.607182, Mouse spotted
WARNING:root:2021-12-29 16:26:24.731074, Mouse spotted
WARNING:root:2021-12-29 16:26:24.817556, Mouse spotted
WARNING:root:2021-12-29 16:26:24.938838, Mouse spotted
WARNING:root:2021-12-29 16:26:25.098021, Mouse spotted
WARNING:root:2021-12-29 16:26:25.173368, Mouse spotted
WARNING:root:2021-12-29 16:26:25.249425, Mouse spotted
WARNING:root:2021-12-29 16:26:25.326659, Mouse spotted
WARNING:root:2021-12-29 16:26:25.411936, Mouse spotted
