2021-12-29 18:32:30,081 WARNING violin; revolver; assault rifle spotted
2021-12-29 18:32:33,144 WARNING seat belt; Polaroid camera; teapot spotted
2021-12-29 18:32:36,174 WARNING seat belt; reflex camera; Polaroid camera spotted
2021-12-29 18:32:39,207 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:32:42,234 WARNING teapot; Polaroid camera; violin spotted
2021-12-29 18:32:45,296 WARNING revolver; assault rifle; seat belt spotted
2021-12-29 18:32:48,357 WARNING violin; teapot; seat belt spotted
2021-12-29 18:32:51,418 WARNING seat belt; violin; buckle spotted
2021-12-29 18:32:54,480 WARNING seat belt; teapot; Polaroid camera spotted
2021-12-29 18:32:57,542 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:33:00,570 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:33:03,581 WARNING teapot; Polaroid camera; violin spotted
2021-12-29 18:33:06,628 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:33:09,662 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:33:12,713 WARNING assault rifle; seat belt; Polaroid camera spotted
2021-12-29 18:33:15,776 WARNING Polaroid camera; teapot; assault rifle spotted
2021-12-29 18:33:18,836 WARNING violin; assault rifle; Polaroid camera spotted
2021-12-29 18:33:21,897 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:33:24,962 WARNING teapot; Polaroid camera; seat belt spotted
2021-12-29 18:33:28,018 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:33:31,081 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:33:34,093 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:33:37,108 WARNING teapot; violin; Polaroid camera spotted
2021-12-29 18:33:40,134 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:33:43,143 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:33:46,148 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:33:49,184 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:33:52,209 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:33:55,269 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:33:58,294 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:34:01,354 WARNING assault rifle; teapot; violin spotted
2021-12-29 18:34:04,380 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:34:07,416 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:34:10,422 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:34:13,471 WARNING assault rifle; Polaroid camera; violin spotted
2021-12-29 18:34:16,533 WARNING assault rifle; teapot; reflex camera spotted
2021-12-29 18:34:19,595 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:34:22,607 WARNING assault rifle; reflex camera; Polaroid camera spotted
2021-12-29 18:34:25,648 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:34:28,712 WARNING Polaroid camera; assault rifle; reflex camera spotted
2021-12-29 18:34:31,772 WARNING teapot; Polaroid camera; reflex camera spotted
2021-12-29 18:34:34,798 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:34:37,852 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:34:40,908 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:34:43,941 WARNING assault rifle; violin; teapot spotted
2021-12-29 18:34:46,988 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:34:50,008 WARNING teapot; assault rifle; seat belt spotted
2021-12-29 18:34:53,069 WARNING teapot; violin; Polaroid camera spotted
2021-12-29 18:34:56,128 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:34:59,192 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:35:02,206 WARNING teapot; assault rifle; violin spotted
2021-12-29 18:35:05,233 WARNING teapot; Polaroid camera; assault rifle spotted
2021-12-29 18:35:08,265 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:35:11,311 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:35:14,330 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:35:17,356 WARNING teapot; Polaroid camera; reflex camera spotted
2021-12-29 18:35:20,358 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:35:23,362 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:35:26,407 WARNING assault rifle; teapot; seat belt spotted
2021-12-29 18:35:29,440 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:35:32,464 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:35:35,525 WARNING teapot; violin; assault rifle spotted
2021-12-29 18:35:38,585 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:35:41,649 WARNING violin; assault rifle; teapot spotted
2021-12-29 18:35:44,709 WARNING teapot; seat belt; Polaroid camera spotted
2021-12-29 18:35:47,773 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:35:50,830 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:35:53,891 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:35:56,907 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:35:59,913 WARNING Polaroid camera; assault rifle; teapot spotted
2021-12-29 18:36:02,937 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:36:06,004 WARNING assault rifle; Polaroid camera; reflex camera spotted
